"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2025-01-15","2025-01-15","2024-07","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","1500","100","Song","US","0.00000","4.50",""
"2025-01-15","2025-01-15","2024-07","Apple Music","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","680","100","Song","US","0.00000","2.99",""
"2025-01-15","2025-01-15","2024-12","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","1800","100","Song","US","0.00000","5.40",""
"2025-01-15","2025-01-15","2024-12","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","620","100","Song","AU","0.00000","1.86",""
"2025-01-15","2025-01-15","2024-12","Apple Music","Luna Waves","Dreamscape","QZNWX2400005","198765432105","950","100","Song","US","0.00000","4.18",""
"2025-01-15","2025-01-15","2024-12","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","2200","100","Song","US","0.00000","6.60",""
"2025-01-15","2025-01-15","2024-12","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","780","100","Song","CA","0.00000","2.34",""
"2025-01-15","2025-01-15","2024-12","TikTok","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","15000","100","Song","US","0.00000","7.50",""
"2025-01-15","2025-01-15","2024-12","YouTube Music","Luna Waves","Stargazer","QZNWX2400007","198765432107","1600","100","Song","US","0.00000","4.80",""
"2025-01-15","2025-01-15","2024-12","Amazon Music","Luna Waves","Stargazer","QZNWX2400007","198765432107","720","100","Song","US","0.00000","3.36",""
"2025-01-15","2025-01-15","2024-11","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","1550","100","Song","US","0.00000","4.65",""
"2025-01-15","2025-01-15","2024-11","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","1900","100","Song","US","0.00000","5.70",""
"2025-01-15","2025-01-15","2024-11","Apple Music","Luna Waves","Stargazer","QZNWX2400007","198765432107","820","100","Song","US","0.00000","3.61",""
"2025-01-15","2025-01-15","2024-10","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","1300","100","Song","US","0.00000","3.90",""
"2025-01-15","2025-01-15","2024-10","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","1650","100","Song","US","0.00000","4.95",""
"2025-01-15","2025-01-15","2024-12","kkbox","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","380","100","Song","TW","0.00000","1.14",""
"2025-01-15","2025-01-15","2024-12","Pandora","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","950","100","Song","US","0.00000","2.85",""
"2025-01-15","2025-01-15","2024-12","SoundCloud","Luna Waves","Dreamscape","QZNWX2400005","198765432105","520","100","Song","US","0.00000","1.56",""
"2025-01-15","2025-01-15","2024-12","Spotify","Nova Eclipse & Luna Waves","Collide","QZNWX2400008","198765432108","1400","50","Song","US","0.00000","2.10",""
"2025-01-15","2025-01-15","2024-12","Apple Music","Nova Eclipse & Luna Waves","Collide","QZNWX2400008","198765432108","680","50","Song","US","0.00000","1.49",""
"2025-01-15","2025-01-15","2024-12","TikTok","Nova Eclipse & Luna Waves","Collide","QZNWX2400008","198765432108","9500","50","Song","US","0.00000","2.38",""
